race,sex,workclass,age,education_num,hours_per_week,capital_gain
White,Female,Private,17.0,6.0,10.0,0
White,Male,Private,29.0,9.0,40.0,0
White,Male,Private,53.0,9.0,42.0,0
Other,Female,Private,56.0,4.0,40.0,0
White,unknown,Self-Emp-Not-Inc,72.0,10.0,35.0,0
White,Male,Self-Emp-Not-Inc,43.0,9.0,40.0,0
White,Male,State-Gov,46.0,13.0,10.0,0
White,Male,State-Gov,52.0,14.0,70.0,0
White,Female,Private,20.0,9.0,40.0,0
White,Male,Local-Gov,56.0,12.0,45.0,0
White,Male,Private,27.0,14.0,40.0,0
Asian-Pac-Islander,Male,Private,43.0,9.0,60.0,2829
White,Male,Private,45.0,10.0,40.0,0
White,Female,Private,38.0,14.0,40.0,0
White,Male,Private,61.0,4.0,35.0,0
White,Male,Private,31.0,9.0,60.0,0
Black,Male,Private,24.0,13.0,50.0,0
White,Female,Private,25.0,9.0,40.0,0
White,Male,Private,37.0,9.0,45.0,0
White,Male,Federal-Gov,36.0,13.0,40.0,0
White,Female,Private,60.0,6.0,40.0,0
White,Male,Self-Emp-Not-Inc,58.0,9.0,72.0,0
White,Male,Private,40.0,13.0,40.0,0
Black,Female,Local-Gov,52.0,9.0,40.0,0
White,Male,Private,50.0,9.0,48.0,0
Black,Male,Private,36.0,6.0,40.0,0
White,Male,Private,48.0,13.0,55.0,0
White,Male,Private,31.0,9.0,40.0,0
White,Male,Private,22.0,12.0,45.0,0
White,Male,Private,20.0,9.0,40.0,0
White,Male,Private,42.0,11.0,40.0,0
White,Male,Federal-Gov,57.0,6.0,35.0,0
White,Male,Self-Emp-Not-Inc,62.0,4.0,40.0,0
White,Male,Local-Gov,32.0,10.0,40.0,0
White,Male,State-Gov,56.0,9.0,38.0,0
White,Male,Private,44.0,10.0,42.0,0
White,Male,State-Gov,33.0,13.0,20.0,0
White,Male,Local-Gov,40.0,9.0,40.0,0
White,Male,Private,32.0,9.0,40.0,0
White,Female,Local-Gov,38.0,14.0,55.0,0
White,Male,State-Gov,25.0,10.0,40.0,0
White,Female,Private,24.0,9.0,40.0,0
White,Male,Private,46.0,13.0,40.0,0
White,Male,Private,22.0,9.0,40.0,0
White,Female,Private,29.0,9.0,30.0,0
White,Male,Private,25.0,9.0,70.0,0
White,Male,Self-Emp-Inc,43.0,13.0,45.0,0
Amer-Indian-Eskimo,Male,State-Gov,44.0,13.0,38.0,0
White,Male,Private,54.0,9.0,45.0,0
White,Female,Private,25.0,13.0,40.0,0
White,Female,Private,19.0,9.0,40.0,0
White,Female,Private,23.0,9.0,25.0,0
Black,Female,Local-Gov,45.0,10.0,25.0,0
Black,Male,Local-Gov,52.0,13.0,40.0,0
Black,Female,Private,30.0,12.0,40.0,0
Other,Male,Private,47.0,9.0,40.0,0
White,Male,Private,52.0,9.0,50.0,0
White,Female,Private,65.0,10.0,40.0,0
White,Male,Private,18.0,10.0,30.0,0
White,Female,Private,27.0,11.0,40.0,0
White,Male,Private,34.0,10.0,64.0,0
White,Female,Private,35.0,13.0,45.0,0
White,Male,Private,67.0,9.0,40.0,0
White,Male,Private,26.0,9.0,52.0,0
Amer-Indian-Eskimo,Male,Local-Gov,26.0,9.0,25.0,0
White,Male,Self-Emp-Not-Inc,51.0,12.0,30.0,3103
White,Female,State-Gov,42.0,10.0,45.0,0
White,Male,Private,30.0,9.0,30.0,0
Asian-Pac-Islander,unknown,Federal-Gov,44.0,13.0,40.0,15024
White,Female,Federal-Gov,48.0,9.0,40.0,0
White,Male,Private,51.0,14.0,50.0,15024
White,Male,Private,41.0,4.0,40.0,0
Black,Female,Private,22.0,9.0,37.0,0
White,Female,Self-Emp-Inc,34.0,14.0,40.0,4787
White,Male,Self-Emp-Inc,50.0,15.0,60.0,0
White,Female,Local-Gov,40.0,13.0,35.0,0
White,Male,Private,41.0,7.0,40.0,7688
White,Male,Private,50.0,9.0,58.0,0
White,Male,Private,59.0,13.0,40.0,0
White,Male,Private,21.0,10.0,22.0,0
White,Male,Private,33.0,9.0,40.0,0
Black,Female,Private,42.0,10.0,40.0,0
White,Male,Private,47.0,9.0,40.0,0
Black,Female,Private,49.0,5.0,16.0,0
White,Male,Private,30.0,9.0,45.0,0
Asian-Pac-Islander,Male,State-Gov,24.0,10.0,24.0,0
White,Female,Private,17.0,6.0,20.0,0
White,Female,Private,18.0,7.0,40.0,0
White,Female,Local-Gov,43.0,13.0,45.0,0
Black,Male,Self-Emp-Not-Inc,27.0,9.0,40.0,0
White,Female,Private,24.0,10.0,25.0,0
White,Male,Private,37.0,9.0,60.0,15024
White,Male,Private,36.0,12.0,52.0,0
White,Female,Private,51.0,10.0,40.0,0
Asian-Pac-Islander,Female,Private,19.0,10.0,40.0,0
White,Male,Private,47.0,5.0,48.0,4386
Black,Female,State-Gov,72.0,4.0,40.0,0
Asian-Pac-Islander,Male,Private,33.0,13.0,80.0,0
White,Male,Private,20.0,10.0,60.0,0
White,Male,Self-Emp-Inc,44.0,10.0,50.0,0
Other,Male,Private,25.0,7.0,40.0,0
Black,unknown,Local-Gov,46.0,13.0,40.0,0
Black,Male,Private,40.0,14.0,40.0,5178
White,Male,Private,24.0,9.0,45.0,0
White,Male,Private,54.0,9.0,32.0,0
White,Male,Private,55.0,10.0,50.0,0
White,Male,Private,27.0,10.0,40.0,3908
White,Male,Private,62.0,9.0,40.0,0
White,Female,Private,76.0,9.0,3.0,0
Black,Male,Private,20.0,10.0,40.0,0
Black,Female,Private,53.0,11.0,40.0,0
White,Male,Private,36.0,13.0,40.0,0
White,Female,Private,40.0,10.0,40.0,0
White,Male,Self-Emp-Not-Inc,64.0,9.0,45.0,7298
White,Male,Federal-Gov,28.0,13.0,50.0,0
White,Male,Private,30.0,9.0,35.0,0
White,Male,Private,27.0,12.0,42.0,0
White,Female,Private,18.0,9.0,40.0,0
White,Female,Private,33.0,10.0,40.0,5178
White,Male,Private,47.0,13.0,18.0,0
White,Male,Private,28.0,9.0,70.0,0
Black,Female,Private,26.0,3.0,40.0,0
Asian-Pac-Islander,Female,State-Gov,21.0,10.0,12.0,0
White,Male,Private,28.0,9.0,40.0,0
White,Female,Private,22.0,10.0,30.0,0
White,Male,Private,18.0,10.0,20.0,0
Black,Female,Local-Gov,25.0,10.0,40.0,0
White,Male,Private,49.0,7.0,40.0,0
White,unknown,Private,23.0,14.0,10.0,0
Asian-Pac-Islander,Male,State-Gov,27.0,14.0,20.0,0
White,Female,Federal-Gov,36.0,9.0,48.0,0
White,Male,Private,65.0,7.0,20.0,0
White,Male,Private,37.0,10.0,40.0,0
Black,Female,Private,19.0,9.0,35.0,0
White,Female,Private,36.0,10.0,40.0,0
White,Male,Private,29.0,13.0,40.0,0
Black,Male,Local-Gov,55.0,10.0,40.0,0
White,Female,Local-Gov,19.0,10.0,25.0,0
White,Female,Private,21.0,10.0,3.0,0
White,Female,Self-Emp-Not-Inc,54.0,13.0,35.0,0
White,Male,Private,27.0,10.0,40.0,0
Black,Female,Private,57.0,10.0,40.0,0
White,Female,Private,30.0,9.0,40.0,0
White,Male,Self-Emp-Inc,47.0,9.0,40.0,0
Black,Male,State-Gov,34.0,13.0,40.0,0
White,Female,Private,80.0,13.0,40.0,0
White,Male,State-Gov,64.0,9.0,40.0,0
White,Female,Private,42.0,9.0,40.0,0
White,Male,Private,44.0,9.0,40.0,0
White,Male,Private,35.0,9.0,40.0,0
White,unknown,Private,44.0,13.0,40.0,0
White,Female,Private,42.0,4.0,40.0,0
White,Male,Private,39.0,13.0,40.0,0
White,Female,Private,41.0,9.0,40.0,0
White,Male,Private,42.0,9.0,40.0,0
White,Female,Self-Emp-Not-Inc,34.0,11.0,40.0,0
White,Male,State-Gov,26.0,13.0,20.0,0
White,Male,Private,20.0,1.0,32.0,0
White,Female,Private,27.0,6.0,40.0,0
Black,unknown,Private,18.0,6.0,40.0,0
White,Male,Self-Emp-Not-Inc,60.0,9.0,8.0,4508
White,Male,Private,39.0,11.0,40.0,0
White,Male,Private,51.0,9.0,50.0,0
White,Female,Private,34.0,11.0,40.0,0
Asian-Pac-Islander,Male,Private,64.0,9.0,60.0,0
White,Male,Private,22.0,9.0,45.0,0
White,Female,Private,27.0,10.0,40.0,0
White,Female,Private,26.0,9.0,40.0,0
White,Male,Private,30.0,9.0,40.0,0
White,Female,Local-Gov,54.0,13.0,40.0,3103
White,Male,Self-Emp-Not-Inc,60.0,14.0,40.0,0
White,Male,Self-Emp-Inc,64.0,14.0,65.0,6418
White,Male,Private,41.0,7.0,50.0,0
White,Male,Private,44.0,12.0,50.0,0
White,Male,Private,33.0,9.0,55.0,0
White,Female,Private,21.0,10.0,15.0,0
White,Male,Self-Emp-Inc,43.0,15.0,40.0,0
White,Female,Private,31.0,12.0,32.0,0
White,Male,Self-Emp-Not-Inc,56.0,14.0,16.0,0
White,Male,Private,34.0,13.0,55.0,3103
Black,Male,Private,66.0,4.0,30.0,0
White,Female,Private,17.0,7.0,40.0,0
White,Male,Local-Gov,27.0,7.0,40.0,0
White,Female,Private,26.0,13.0,40.0,0
White,Male,Private,25.0,13.0,30.0,0
White,Male,Private,25.0,13.0,50.0,27828
White,Male,State-Gov,20.0,10.0,30.0,0
White,Male,Private,43.0,13.0,40.0,0
White,Female,Private,20.0,10.0,20.0,0
White,Male,State-Gov,35.0,13.0,42.0,0
White,Male,Private,23.0,3.0,35.0,0
White,Male,Private,76.0,13.0,50.0,20051
White,Male,Private,32.0,10.0,40.0,0
White,Female,State-Gov,19.0,10.0,8.0,0
Other,Male,Private,77.0,4.0,30.0,0
Other,Male,Private,33.0,5.0,40.0,0
White,Male,Private,23.0,2.0,36.0,0
White,unknown,Private,43.0,11.0,36.0,0
Black,Male,Private,29.0,9.0,40.0,0
White,Male,Self-Emp-Not-Inc,52.0,10.0,5.0,0
Black,Female,Local-Gov,57.0,14.0,40.0,0
White,Male,Private,38.0,13.0,40.0,7688
White,Male,Self-Emp-Inc,53.0,10.0,48.0,0
White,Female,Private,46.0,9.0,40.0,0
White,Male,Local-Gov,54.0,14.0,45.0,0
White,Male,Private,45.0,16.0,50.0,0
White,Male,Self-Emp-Not-Inc,40.0,9.0,40.0,0
White,Male,Federal-Gov,90.0,9.0,30.0,0
White,Male,Private,18.0,9.0,36.0,0
White,Male,Local-Gov,32.0,14.0,48.0,0
Black,Male,Private,39.0,14.0,52.0,8614
White,Male,Private,48.0,12.0,45.0,0
White,Male,Private,34.0,14.0,50.0,0
White,Female,Private,36.0,9.0,28.0,0
White,Male,Self-Emp-Inc,69.0,9.0,30.0,0
White,Male,Self-Emp-Not-Inc,58.0,13.0,72.0,0
White,Male,Private,44.0,10.0,40.0,0
White,Male,Private,43.0,13.0,50.0,0
White,Male,Private,59.0,7.0,60.0,0
Black,Male,State-Gov,42.0,10.0,48.0,0
White,Male,Private,49.0,14.0,40.0,0
White,Male,Private,58.0,5.0,50.0,0
White,Male,Private,47.0,13.0,50.0,0
Black,Male,Local-Gov,30.0,9.0,40.0,0
Black,Male,Private,50.0,10.0,70.0,0
White,Male,Self-Emp-Not-Inc,48.0,16.0,60.0,99999
White,Male,State-Gov,25.0,10.0,20.0,0
White,Male,Self-Emp-Not-Inc,47.0,9.0,50.0,0
White,Female,Private,29.0,13.0,10.0,3325
White,unknown,Private,38.0,9.0,48.0,0
White,Male,Private,32.0,3.0,40.0,0
White,Female,Private,52.0,9.0,40.0,0
White,Male,Self-Emp-Not-Inc,50.0,13.0,60.0,0
White,Male,Local-Gov,51.0,10.0,40.0,0
Other,Male,Local-Gov,29.0,10.0,40.0,0
White,Male,State-Gov,48.0,14.0,55.0,0
White,Female,Private,54.0,10.0,40.0,0
White,Female,Private,25.0,10.0,40.0,0
White,Male,Private,50.0,9.0,50.0,0
Asian-Pac-Islander,Male,Private,57.0,16.0,40.0,0
Asian-Pac-Islander,Female,Local-Gov,28.0,13.0,40.0,0
White,Female,State-Gov,53.0,14.0,40.0,0
White,Male,Private,25.0,10.0,40.0,0
White,Male,Private,25.0,9.0,30.0,0
White,Male,Private,58.0,9.0,40.0,0
White,Female,Private,43.0,9.0,40.0,0
Asian-Pac-Islander,Male,Self-Emp-Not-Inc,48.0,9.0,30.0,0
White,Male,Private,27.0,13.0,40.0,0
White,Female,Self-Emp-Not-Inc,48.0,16.0,60.0,0
White,Male,Private,28.0,16.0,30.0,0
Other,Male,Federal-Gov,26.0,11.0,55.0,0
White,Male,Private,30.0,10.0,40.0,0
White,Female,Private,40.0,11.0,35.0,0
White,Male,Federal-Gov,31.0,14.0,60.0,7688
White,Male,Private,46.0,3.0,40.0,0
White,Female,Private,46.0,16.0,65.0,25236
White,Female,Private,40.0,9.0,40.0,0
White,Female,Self-Emp-Inc,61.0,14.0,99.0,0
White,Male,Private,20.0,10.0,10.0,0
White,Male,Private,68.0,16.0,70.0,0
White,Female,Self-Emp-Not-Inc,48.0,14.0,40.0,0
White,Male,Self-Emp-Not-Inc,43.0,9.0,45.0,0
White,Female,Private,41.0,11.0,40.0,0
White,Male,Private,49.0,13.0,40.0,0
Amer-Indian-Eskimo,Male,Private,30.0,7.0,40.0,0
Asian-Pac-Islander,Male,State-Gov,25.0,13.0,40.0,2463
White,Male,Private,20.0,9.0,35.0,0
White,Male,Local-Gov,37.0,11.0,80.0,0
Black,Female,Private,36.0,12.0,40.0,0
White,Male,Self-Emp-Inc,36.0,12.0,70.0,0
White,Male,Self-Emp-Not-Inc,70.0,14.0,8.0,0
White,Male,Private,47.0,9.0,48.0,0
White,Female,Local-Gov,51.0,15.0,40.0,0
White,Female,State-Gov,29.0,15.0,40.0,4787
White,Male,Self-Emp-Not-Inc,45.0,10.0,75.0,0
White,Male,Private,27.0,9.0,40.0,0
White,Male,Private,38.0,10.0,50.0,0
White,Female,Private,90.0,10.0,40.0,0
White,Female,Private,21.0,10.0,40.0,0
Black,Female,Local-Gov,40.0,15.0,40.0,0
White,Male,Private,33.0,7.0,49.0,0
White,Male,Self-Emp-Not-Inc,54.0,9.0,35.0,0
White,Male,Private,19.0,10.0,14.0,0
White,Female,Private,21.0,10.0,35.0,0
White,Male,Self-Emp-Not-Inc,76.0,4.0,10.0,0
White,Female,Private,34.0,9.0,36.0,0
Black,Male,Private,24.0,13.0,40.0,0
White,Male,Private,53.0,11.0,40.0,0
White,Female,Private,29.0,16.0,80.0,0
White,Male,Private,46.0,16.0,40.0,0
White,Female,Private,32.0,9.0,37.0,0
White,Male,Private,19.0,10.0,35.0,0
White,Female,State-Gov,37.0,13.0,50.0,0
White,Female,Private,33.0,13.0,40.0,914
White,Male,Private,23.0,13.0,50.0,0
White,Male,Private,32.0,10.0,50.0,0
White,Male,Self-Emp-Inc,52.0,9.0,40.0,0
White,Male,Private,70.0,13.0,30.0,0
Black,Male,Federal-Gov,27.0,13.0,48.0,0
Black,Female,Private,26.0,10.0,35.0,0
Black,Male,Private,43.0,9.0,40.0,0
White,Female,Private,41.0,7.0,40.0,0
White,Male,Private,45.0,10.0,70.0,0
White,Male,Private,35.0,10.0,55.0,0
White,Male,Private,34.0,14.0,40.0,0
White,Female,Private,34.0,9.0,32.0,0
White,Female,State-Gov,46.0,11.0,20.0,0
Asian-Pac-Islander,Male,Private,42.0,14.0,40.0,0
White,Male,Local-Gov,55.0,14.0,50.0,0
White,Female,Private,33.0,13.0,45.0,10520
White,Male,State-Gov,31.0,14.0,35.0,0
White,Female,Private,19.0,10.0,20.0,0
Black,Male,Local-Gov,49.0,9.0,40.0,0
White,Male,Private,48.0,14.0,50.0,99999
White,Female,Private,56.0,9.0,15.0,0
White,Male,Self-Emp-Not-Inc,39.0,9.0,60.0,0
White,Male,Private,61.0,10.0,44.0,0
Amer-Indian-Eskimo,Female,Private,38.0,10.0,40.0,0
White,Male,Private,39.0,9.0,40.0,0
White,Male,Private,55.0,6.0,50.0,0
White,Male,Local-Gov,30.0,13.0,40.0,0
White,Female,Private,47.0,13.0,25.0,0
White,Male,Private,26.0,13.0,50.0,0
Black,Male,Private,40.0,9.0,40.0,0
White,Male,Private,38.0,10.0,60.0,0
White,Male,Local-Gov,31.0,10.0,40.0,0
White,Male,Private,34.0,7.0,43.0,0
White,Male,Private,36.0,9.0,40.0,0
White,Male,Self-Emp-Not-Inc,45.0,9.0,40.0,0
White,Male,Private,57.0,14.0,60.0,0
White,Female,Private,53.0,6.0,40.0,0
Asian-Pac-Islander,Male,Private,53.0,9.0,10.0,0
White,Male,Private,36.0,16.0,40.0,0
White,Female,Local-Gov,48.0,14.0,80.0,0
White,Male,Private,41.0,9.0,40.0,0
White,Female,Self-Emp-Not-Inc,59.0,10.0,80.0,0
White,Male,Private,23.0,11.0,40.0,0
Black,Male,Private,33.0,9.0,50.0,0
White,Male,Self-Emp-Not-Inc,24.0,10.0,60.0,0
Black,Female,Private,23.0,11.0,40.0,0
Asian-Pac-Islander,Male,Private,60.0,14.0,50.0,0
White,Male,Private,19.0,9.0,35.0,0
Black,Male,Private,25.0,9.0,36.0,0
White,Female,Private,38.0,13.0,40.0,0
White,Male,Private,23.0,10.0,40.0,0
White,unknown,Private,90.0,12.0,45.0,6097
White,Male,Self-Emp-Not-Inc,46.0,9.0,50.0,0
White,Female,Private,43.0,10.0,40.0,0
White,Male,Private,53.0,13.0,55.0,0
Amer-Indian-Eskimo,Male,Private,44.0,9.0,40.0,0
White,Male,Private,39.0,14.0,55.0,0
Black,Female,Private,25.0,7.0,40.0,0
White,Female,Private,39.0,10.0,45.0,0
White,Female,Private,28.0,10.0,40.0,0
White,Male,Private,41.0,13.0,52.0,0
White,Male,Private,19.0,6.0,20.0,0
White,unknown,Private,88.0,10.0,40.0,0
White,Male,Self-Emp-Not-Inc,45.0,9.0,60.0,0
White,Male,Self-Emp-Inc,50.0,9.0,40.0,7298
White,Male,Private,43.0,9.0,65.0,0
White,Female,Private,23.0,13.0,40.0,0
White,Male,Private,46.0,5.0,35.0,0
Black,Female,Local-Gov,52.0,13.0,40.0,0
White,Female,Private,50.0,9.0,33.0,0
White,Male,Private,33.0,4.0,40.0,0
White,Male,Private,54.0,9.0,40.0,0
White,Female,Private,55.0,14.0,40.0,0
White,Male,Private,22.0,9.0,80.0,0
White,Male,Private,30.0,15.0,50.0,10520
White,Male,Self-Emp-Not-Inc,35.0,13.0,7.0,0
Black,Male,Private,44.0,10.0,40.0,0
White,Female,Private,45.0,9.0,38.0,0
White,Male,Self-Emp-Not-Inc,44.0,9.0,45.0,0
White,Male,Private,38.0,7.0,40.0,0
White,Male,Private,23.0,9.0,40.0,0
Asian-Pac-Islander,Female,Private,39.0,13.0,24.0,0
White,Female,Private,59.0,9.0,40.0,0
Asian-Pac-Islander,Male,Private,25.0,7.0,35.0,0
White,Female,Private,46.0,12.0,40.0,0
White,Female,State-Gov,59.0,14.0,60.0,0
White,Male,Private,34.0,10.0,42.0,0
White,Male,Private,26.0,10.0,50.0,0
White,Male,Self-Emp-Inc,41.0,13.0,40.0,0
Asian-Pac-Islander,Male,Private,23.0,13.0,55.0,0
White,Male,Private,33.0,11.0,42.0,0
Asian-Pac-Islander,Male,Local-Gov,42.0,12.0,48.0,0
White,Male,Private,32.0,13.0,40.0,0
White,Male,Private,28.0,10.0,40.0,0
Black,Male,Self-Emp-Not-Inc,28.0,10.0,40.0,0
Black,Female,Federal-Gov,44.0,13.0,40.0,0
White,Male,Private,43.0,9.0,40.0,4650
White,Male,Self-Emp-Not-Inc,27.0,9.0,50.0,9562
White,Male,Self-Emp-Inc,17.0,6.0,12.0,0
White,Male,Self-Emp-Not-Inc,28.0,10.0,40.0,0
White,Male,Local-Gov,43.0,9.0,40.0,0
White,Male,Self-Emp-Not-Inc,38.0,10.0,30.0,0
White,Male,Self-Emp-Not-Inc,39.0,9.0,50.0,0
White,Male,Private,38.0,9.0,50.0,0
